@relation kdd

@attribute attribution1 numeric
@attribute attribution2 numeric
@attribute attribution3 numeric
@attribute attribution4 numeric
@attribute attribution5 numeric
@attribute attribution6 numeric
@attribute attribution7 numeric
@attribute attribution8 numeric
@attribute attribution9 numeric
@attribute attribution10 numeric
@attribute attribution11 numeric
@attribute attribution12 numeric
@attribute attribution13 numeric
@attribute attribution14 numeric
@attribute class {0, 1}

@data
2.0,20.0,14.0,14.0,16.0,0.0,0.0,122.0,14.0,14.0,0.0,0.0,0.0,122.0,1
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,1
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,1
2.0,20.0,14.0,14.0,16.0,0.0,0.0,122.0,14.0,14.0,0.0,0.0,0.0,122.0,1
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,1
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,16.0,0.0,0.0,115.0,14.0,14.0,0.0,0.0,0.0,115.0,0
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,11.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0
2.0,16.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,16.0,14.0,14.0,16.0,0.0,0.0,93.0,14.0,14.0,0.0,0.0,0.0,93.0,0
3.0,20.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,20.0,14.0,14.0,16.0,0.0,0.0,122.0,14.0,14.0,0.0,0.0,0.0,122.0,0
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
4.0,30.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,11.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,11.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0
2.0,20.0,14.0,14.0,16.0,0.0,0.0,122.0,14.0,14.0,0.0,0.0,0.0,122.0,0
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0
4.0,10.0,11.0,11.0,13.0,25.0,25.0,0.0,11.0,11.0,0.0,25.0,25.0,0.0,1
3.0,4.0,11.0,11.0,0.0,25.0,25.0,0.0,11.0,11.0,0.0,25.0,25.0,0.0,0
8.0,172.0,18.0,18.0,20.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,1
1.0,88.0,18.0,18.0,17.0,18.0,18.0,70.0,15.0,13.5,3.5,12.5,10.0,30.5,1
1.0,88.0,18.0,18.0,20.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,1
5.0,144.0,18.0,18.0,20.0,18.0,18.0,96.0,18.0,18.0,0.0,16.5,14.5,39.5,1
5.0,144.0,18.0,18.0,20.0,18.0,18.0,72.0,18.0,18.0,0.0,16.5,14.5,27.5,1
4.0,134.0,18.0,18.0,13.0,18.0,18.0,0.0,14.0,13.5,4.0,18.0,18.0,0.0,1
3.0,152.0,18.0,18.0,23.0,18.0,18.0,0.0,10.0,9.333333333333334,8.0,18.0,18.0,0.0,1
7.0,162.0,18.0,18.0,13.0,18.0,18.0,126.0,14.0,13.5,4.0,18.0,18.0,53.0,1
3.0,108.0,18.0,18.0,20.0,18.0,18.0,103.0,18.0,18.0,0.0,15.0,10.0,44.5,1
3.0,120.0,18.0,18.0,13.0,18.0,18.0,54.0,14.0,13.5,4.0,18.0,18.0,17.0,1
5.0,138.0,18.0,18.0,20.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,1
1.0,88.0,18.0,18.0,13.0,18.0,18.0,35.0,14.0,13.5,4.0,13.0,10.0,13.5,1
5.0,138.0,18.0,18.0,20.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,1
2.0,110.0,18.0,18.0,20.0,18.0,18.0,34.0,18.0,18.0,0.0,14.0,14.0,12.0,1
1.0,88.0,18.0,18.0,17.0,18.0,18.0,21.0,15.0,13.5,3.5,11.0,10.5,9.5,1
3.0,108.0,18.0,18.0,13.0,18.0,18.0,0.0,14.0,13.5,4.0,18.0,18.0,0.0,1
2.0,110.0,18.0,18.0,12.0,18.0,18.0,120.0,14.0,13.5,4.0,18.0,18.0,50.0,1
3.0,119.0,18.0,18.0,12.0,18.0,18.0,0.0,14.0,13.5,4.0,18.0,18.0,0.0,1
1.0,88.0,18.0,18.0,20.0,18.0,18.0,0.0,10.5,10.0,7.5,18.0,18.0,0.0,1
7.0,164.0,18.0,18.0,20.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,1
1.0,44.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,18.0,18.0,0.0,0
8.0,66.0,13.0,13.0,15.0,22.0,22.0,0.0,13.0,13.0,0.0,22.0,22.0,0.0,1
5.0,54.0,13.0,13.0,15.0,22.0,22.0,0.0,13.0,13.0,0.0,22.0,22.0,0.0,1
7.0,62.0,13.0,13.0,15.0,22.0,22.0,0.0,13.0,13.0,0.0,22.0,22.0,0.0,1
3.0,32.0,13.0,13.0,15.0,22.0,22.0,0.0,13.0,13.0,0.0,22.0,22.0,0.0,1
7.0,60.0,13.0,13.0,15.0,22.0,22.0,0.0,13.0,13.0,0.0,22.0,22.0,0.0,1
1.0,10.0,13.0,13.0,0.0,22.0,22.0,0.0,13.0,13.0,0.0,22.0,22.0,0.0,0
2.0,92.0,17.0,17.0,19.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,1
3.0,46.0,17.0,17.0,19.0,22.0,22.0,0.0,15.5,11.5,1.5,22.0,22.0,0.0,1
4.0,114.0,17.0,17.0,19.0,22.0,22.0,0.0,15.5,11.5,1.5,22.0,22.0,0.0,1
5.0,106.0,17.0,17.0,19.0,22.0,22.0,123.0,15.5,11.5,1.5,22.0,22.0,49.5,1
3.0,128.0,17.0,17.0,19.0,22.0,22.0,0.0,15.5,11.5,1.5,22.0,22.0,0.0,1
4.0,132.0,17.0,17.0,19.0,22.0,22.0,0.0,15.5,11.5,1.5,22.0,22.0,0.0,1
4.0,116.0,17.0,17.0,19.0,22.0,22.0,117.0,15.5,11.5,1.5,21.5,15.0,47.0,1
3.0,76.0,17.0,17.0,19.0,22.0,22.0,122.0,15.5,11.5,1.5,22.0,22.0,49.0,1
3.0,110.0,17.0,17.0,19.0,22.0,22.0,119.0,15.5,11.5,1.5,22.0,22.0,47.5,1
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,18.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,18.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
2.0,30.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,18.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
2.0,30.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,18.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,18.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
2.0,30.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,18.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
3.0,34.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
2.0,30.0,17.0,17.0,0.0,22.0,22.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0,0
1.0,100.0,14.0,14.0,16.0,18.0,18.0,71.0,14.0,14.0,0.0,16.5,14.0,27.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,91.0,14.0,14.0,0.0,14.5,10.0,39.0,1
6.0,144.0,14.0,14.0,13.0,18.0,18.0,0.0,12.5,10.5,1.5,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,85.0,14.0,14.0,0.0,15.5,10.5,35.5,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,9.0,18.0,18.0,0.0,8.5,8.0,5.5,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
3.0,116.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
2.0,110.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
3.0,116.0,14.0,14.0,16.0,18.0,18.0,117.0,14.0,14.0,0.0,17.0,15.0,49.5,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
7.0,152.0,14.0,14.0,13.0,18.0,18.0,75.0,12.5,10.5,1.5,15.5,14.0,30.0,1
2.0,110.0,14.0,14.0,10.0,18.0,18.0,0.0,11.0,10.5,3.0,18.0,18.0,0.0,1
6.0,144.0,14.0,14.0,13.0,18.0,18.0,0.0,12.5,10.5,1.5,18.0,18.0,0.0,1
3.0,116.0,14.0,14.0,16.0,18.0,18.0,117.0,14.0,14.0,0.0,17.0,15.0,49.5,1
5.0,138.0,14.0,14.0,13.0,18.0,18.0,108.0,12.5,10.5,1.5,16.5,14.5,45.5,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,1
1.0,100.0,14.0,14.0,16.0,18.0,18.0,91.0,14.0,14.0,0.0,14.5,10.0,39.0,1
4.0,130.0,14.0,14.0,13.0,18.0,18.0,30.0,12.5,10.5,1.5,14.0,14.0,12.0,1
1.0,50.0,14.0,14.0,0.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,0
1.0,50.0,14.0,14.0,0.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,0
1.0,50.0,14.0,14.0,0.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,0
1.0,50.0,14.0,14.0,0.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,0
1.0,50.0,14.0,14.0,0.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,0
1.0,50.0,14.0,14.0,0.0,18.0,18.0,0.0,14.0,14.0,0.0,18.0,18.0,0.0,0
2.0,52.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
2.0,52.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
1.0,24.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1
1.0,48.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
2.0,50.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
2.0,52.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
1.0,48.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
4.0,66.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
2.0,52.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
4.0,66.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
1.0,48.0,20.0,20.0,19.0,0.0,0.0,0.0,15.0,13.5,5.0,0.0,0.0,0.0,1
2.0,32.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1
3.0,58.0,20.0,20.0,19.0,0.0,0.0,0.0,18.0,17.5,2.0,0.0,0.0,0.0,1
1.0,48.0,20.0,20.0,20.0,0.0,0.0,0.0,11.5,11.0,9.0,0.0,0.0,0.0,1
3.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0
3.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0
3.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0
3.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0
3.0,35.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0
2.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0
4.0,109.0,13.0,13.0,11.0,29.0,15.0,71.0,10.5,10.0,2.5,20.0,8.5,29.0,1
2.0,40.0,13.0,13.0,15.0,29.0,15.0,80.0,13.0,13.0,0.0,25.0,11.5,29.0,1
3.0,57.0,13.0,13.0,15.0,29.0,15.0,113.0,13.0,13.0,0.0,22.5,9.0,47.5,1
4.0,99.0,13.0,13.0,11.0,29.0,15.0,2.0,10.5,10.0,2.5,29.0,15.0,2.0,1
4.0,109.0,13.0,13.0,15.0,29.0,15.0,113.0,13.0,13.0,0.0,22.5,9.0,47.5,1
4.0,109.0,13.0,13.0,11.0,29.0,15.0,113.0,10.5,10.0,2.5,22.5,9.0,47.5,1
4.0,109.0,13.0,13.0,11.0,29.0,15.0,29.0,10.5,10.0,2.5,19.0,8.5,14.0,1
2.0,84.0,13.0,13.0,11.0,29.0,15.0,2.0,10.5,10.0,2.5,29.0,15.0,2.0,1
3.0,24.0,13.0,13.0,0.0,29.0,15.0,2.0,13.0,13.0,0.0,29.0,15.0,2.0,0
